G,PG,PG-13,R
,,279282,4613815
,,43982842,4301331
,,112521,4046737
,,96734,3713002
,,42919096,3468572
,,1310270,2892582
,,42638165,2800000
,,7830611,2426851
,,3278611,1325073
,,10508,800000
,,171988,562059
,,23616,399793
,,3773863,371897
,,12055,354704
,,37188667,58214
,,2938208,75078
,,1293295,18469
,,80276912,12836
,,1281176,27900000
,,2360184,27900000
,,24343673,14000000
,,3388210,25138292
,,45661,10305534
,,2428241,9449219
,,215185,6390032
,,1111,220234
,,1316074,34350553
,,2882062,101228
,,2643689,5354039
,,424760,2926565
,,10443,13092000
,,,17311
,,,7680
,,,5776314
,,,141600000
,,,38168022
,,,84749884
,,,30000000
,,,64423650
,,,48056940
,,,19184015
,,,19472057
,,,15935068
,,,11694528
,,,10017041
,,,9016377
,,,8114507
,,,7282851
,,,6879730
,,,4142507
,,,4109095
,,,4033268
,,,3902679
,,,3559990
,,,3287435
,,,3071947
,,,2961991
,,,4063238
,,,2223990
,,,1821983
,,,418268
,,,200803
,,,33631221
,,,73678
,,,143000
,,,39852
,,,5005
,,,3123749
,,,22201636
,,,19170001
,,,952620
,,,9054736
,,,119500000
,,,32600000
,,,475000
,,,10654581
,,,40041683
,,,33386128
,,,14400000
,,,32230907
,,,6401336
,,,26781723
,,,5400000
,,,1282084
,,,1186323
,,,6851969
,,,12995673
,,,99851
,,,322157
,,,5731103
,,,438653
,,,36200000
,,,21300000
,,,510092
,,,3330
,,,792966
,,,14673301
,,,11533945
,,,6003587
,,,5792822
,,,4599680
,,,6531491
,,,3885134
,,,3335839
,,,2506446
,,,1477002
,,,110000
,,,535249
,,,347578
,,,100669
,,,186354
,,,198407
,,,2843
,,,4556
,,,4600000
,,,35266619
,,,444044
,,,841206
,,,145540
,,,35918429
,,,92401
,,,6026908
,,,2592808
,,,2580
,,,58885635
,,,11806119
,,,7362100
,,,7022940
,,,2365931
,,,712294
,,,3447339
,,,406035
,,,402820
,,,373967
,,,194568
,,,173066
,,,183490
,,,52166
,,,1163508
,,,695229
,,,638951
,,,32940507
,,,19539
,,,19100000
